,servicesSubscripted,accountGroups,name,user,email,active,createdAt,updatedAt,invited,servicesSbubscripted,consoleUser,objectId,__type,className
0,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': '7u7Ud9Cjfl'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'y9WomUAnbv'}]","[{'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'Dr37jUh31t'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'qb1XQmQmT8'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'lgASAJmOJy'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'EjwyBYnXC5'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'y9WomUAnbv'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'y9WomUAnbv'}]",salomon,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'W77SJBHD8m'}",a@a.com,True,2018-08-03T10:13:43.767Z,2019-10-18T10:39:49.454Z,True,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'y9WomUAnbv'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'y9WomUAnbv'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'y9WomUAnbv'}]","{'__type': 'Pointer', 'className': '_User', 'objectId': 'zDcJYcUkww'}",1gEOfAhtBy,Object,AccountUser
1,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': '7u7Ud9Cjfl'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'y9WomUAnbv'}]","[{'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'k6eqttrHLc'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'lgASAJmOJy'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'EjwyBYnXC5'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'ldidccedV8'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'MM98ptYWu4'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': '2AfA2BBWL3'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'I9u53BqrQB'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'rgwetuCsmS'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'szn9U2WYOA'}]",Don,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'W77SJBHD8m'}",j@j.com,True,2018-08-03T12:20:17.760Z,2018-08-06T13:05:05.560Z,True,,,rn6DYlKO6x,Object,AccountUser
2,[],"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'y9WomUAnbv'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'y9WomUAnbv'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'szn9U2WYOA'}]",dfasdf,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'W77SJBHD8m'}",w@w.cm,False,2018-08-03T14:20:07.066Z,2018-08-06T13:05:05.556Z,True,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'y9WomUAnbv'}]",,J2sU5BFOSG,Object,AccountUser
3,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'k2bY8E46te'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'jzHYVB0tyi'}]",[],user,"{'__type': 'Pointer', 'className': '_User', 'objectId': '8HgxQqhRLI'}",user@user.com,True,2018-08-06T09:01:29.394Z,2018-08-16T10:56:50.222Z,True,,,tKe2dgzBLU,Object,AccountUser
4,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'k2bY8E46te'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'jzHYVB0tyi'}]",[],Salmus,"{'__type': 'Pointer', 'className': '_User', 'objectId': '8HgxQqhRLI'}",sal@sal.com,True,2018-08-06T13:06:25.014Z,2018-08-16T10:56:50.231Z,True,,,w6T8yUkfPR,Object,AccountUser
5,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'jzHYVB0tyi'}]",[],user2,"{'__type': 'Pointer', 'className': '_User', 'objectId': '8HgxQqhRLI'}",use1r@user.com,True,2018-08-06T16:18:05.574Z,2018-08-16T10:56:50.241Z,True,,,zFdmhMTNii,Object,AccountUser
6,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'qRAVJQYhYC'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'UzuqjJHP8F'}]",[],Maurice,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'DduHEK4gmd'}",emploi@acesy.net,True,2018-08-06T23:56:43.879Z,2018-08-07T00:29:15.224Z,True,,,vEYw5Il1pD,Object,AccountUser
7,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'OfOoqzOv9W'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'MhafgE6F86'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'bICzhvzrpk'}]","[{'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'JAelsadjAZ'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'd8tlFpDYzC'}]",kemsty,"{'__type': 'Pointer', 'className': '_User', 'objectId': '7lF3yeqSP2'}",kj@jd.cm,True,2018-08-07T14:17:08.656Z,2018-08-13T10:40:08.787Z,True,,,p5nicQRKXB,Object,AccountUser
8,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'MhafgE6F86'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'bICzhvzrpk'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': '79Olyrp0NZ'}]","[{'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'd8tlFpDYzC'}]",sdqsd,"{'__type': 'Pointer', 'className': '_User', 'objectId': '7lF3yeqSP2'}",ds@sd.com,False,2018-08-13T09:41:39.463Z,2018-08-13T09:45:34.230Z,True,,,dKciDy9olq,Object,AccountUser
9,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'PaZfnHbAKX'}]","[{'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': '7A9YFoKb1i'}]",user1,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'BNTjH18Ejd'}",user@user.com,False,2018-08-13T15:53:14.528Z,2018-08-14T09:36:51.820Z,True,,,6zUuWmzrwp,Object,AccountUser
10,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'PaZfnHbAKX'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': '1NmebvZM4B'}]","[{'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': '7A9YFoKb1i'}]",steeve,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'BNTjH18Ejd'}",steve.kegne@acesy.net,False,2018-08-13T15:58:26.753Z,2018-08-14T09:15:50.374Z,True,,"{'__type': 'Pointer', 'className': '_User', 'objectId': '7lF3yeqSP2'}",KifR5V9IxB,Object,AccountUser
